array,camera,site,long,lat,easting_12n,northing_12n
LU2,3,LU2_3,-111.48897,54.871919999999996,468621.87804954505,6080648.465078816
LU2,5,LU2_5,-111.40779,54.87287,473831.9336592749,6080720.833836847
LU2,100,LU2_100,-111.76688,54.99404,450937.0408583181,6094397.1487539485
LU2,101,LU2_101,-111.41208,54.86738,473553.05057956855,6080111.541518604
LU2,106,LU2_106,-111.78943,54.88816,449361.49613157735,6082631.472272619
LU2,110,LU2_110,-111.47919,54.917919999999995,469284.49749157636,6085762.812801509
LU2,119,LU2_119,-111.78169000000001,54.988879999999995,449983.1393723677,6093833.456562188
LU2,123,LU2_123,-111.66826,55.00679,457259.93918775435,6095751.196769467
LU2,13,LU2_13,-111.40125000000002,54.89791,474267.56815204764,6083504.760695242
LU2,137,LU2_137,-111.59875,54.94295,461644.7532603298,6088607.037409125
LU2,143,LU2_143,-111.43214,54.93758,472313.8299532292,6087930.883114251
LU2,15,LU2_15,-111.38586,54.907869999999996,475260.64098658354,6084607.526799967
LU2,153,LU2_153,-111.49073,54.988679999999995,468600.0161686661,6093641.87949887
LU2,155,LU2_155,-111.40751000000002,54.97483,473915.94272478344,6092066.495962011
LU2,17,LU2_17,-111.50986999999999,54.92504,467323.73346896796,6086568.98862813
LU2,18,LU2_18,-111.45886,54.920970000000004,470589.8407542466,6086093.475922492
LU2,20,LU2_20,-111.63136,54.95559,459568.5101910151,6090031.919827051
LU2,21,LU2_21,-111.62396999999999,54.94711,460033.3367776853,6089084.055948623
LU2,24,LU2_24,-111.78605,54.975930000000005,449687.97659965884,6092395.570083428
LU2,25,LU2_25,-111.63915,54.970279999999995,459084.58651323157,6091671.092143002
LU2,26,LU2_26,-111.41759000000002,54.96789,473266.132958704,6091298.034746433
LU2,27,LU2_27,-111.65133999999999,55.00145,458336.5454957909,6095146.770380339
LU2,29,LU2_29,-111.56660000000001,54.85585999999999,463625.81360743905,6078898.925866748
LU2,30,LU2_30,-111.60097999999999,54.85813,461420.9037220108,6079169.90778577
LU2,31,LU2_31,-111.47372,54.86417,469594.660125124,6079779.357431664
LU2,32,LU2_32,-111.44610000000002,54.862350000000006,471366.1258143794,6079565.199059446
LU2,33,LU2_33,-111.50648,54.86687,467494.17554875696,6080094.509078377
LU2,34,LU2_34,-111.40033,54.88479999999999,474318.2294316063,6082045.59360432
LU2,36,LU2_36,-111.3576,54.92015000000001,477079.497549966,6085964.385809537
LU2,38,LU2_38,-111.52653,54.92608,466256.917023036,6086692.618792167
LU2,39,LU2_39,-111.49615000000001,54.92213000000001,468200.7108370284,6086238.857308163
LU2,40,LU2_40,-111.58392,54.93723,462589.4250190661,6087962.512980707
LU2,42,LU2_42,-111.45815,54.92949,470641.5516073907,6087041.252984204
LU2,44,LU2_44,-111.42569999999999,54.954519999999995,472737.8879676007,6089813.386663649
LU2,46,LU2_46,-111.51454000000001,54.96857000000001,467060.0586465061,6091415.044264333
LU2,47,LU2_47,-111.64797,54.97673,458526.62638959475,6092394.016158897
LU2,50,LU2_50,-111.49719000000002,54.97719,468177.58155682636,6092366.2225644095
LU2,51,LU2_51,-111.47964,54.99653000000001,469315.607925073,6094510.486454813
LU2,52,LU2_52,-111.40199000000001,54.99463,474281.92770205694,6094267.7521530315
LU2,54,LU2_54,-111.41174000000001,55.003310000000006,473663.8424467024,6095237.273446027
LU2,56,LU2_56,-111.39808,55.01672,474546.06718953233,6096724.45673433
LU2,57,LU2_57,-111.39145,55.04159,474985.4928656691,6099489.563561463
LU3,5,LU3_5,-110.86127,55.34055,508799.029886293,6132697.312765524
LU3,7,LU3_7,-110.75082,55.40634,515778.1710184562,6140038.291056751
LU3,10,LU3_10,-110.78266,55.43207,513753.1111679702,6142894.933676382
LU3,102,LU3_102,-110.85629,55.33055,509117.18482819793,6131585.102715841
LU3,103,LU3_103,-110.8249,55.33152,511108.34170375566,6131697.6057975795
LU3,106,LU3_106,-111.09341,55.36141,494078.52944178076,6135013.936368762
LU3,111,LU3_111,-111.1192,55.398630000000004,492450.73542144016,6139158.49304738
LU3,126,LU3_126,-110.77241799999999,55.55315,514357.1105510331,6156371.72381252
LU3,129,LU3_129,-110.82374999999999,55.57962,511111.3389484834,6159308.137924508
LU3,13,LU3_13,-111.11472,55.50208,492753.45177435863,6150670.675934829
LU3,131,LU3_131,-110.79513,55.332390000000004,512996.6627579125,6131799.574156738
LU3,137,LU3_137,-111.19794,55.42564,487472.46878421615,6142175.697127149
LU3,14,LU3_14,-111.09364000000001,55.50061,494084.796825925,6150505.086960996
LU3,147,LU3_147,-110.84415000000001,55.53844,509835.5425435173,6154722.177849479
LU3,15,LU3_15,-110.79516000000001,55.4944,512941.6932385247,6149829.068270007
LU3,17,LU3_17,-110.85302999999999,55.51204,509281.3475851985,6151782.940232315
LU3,18,LU3_18,-111.11632999999999,55.537310000000005,492658.31441975443,6154591.537174502
LU3,19,LU3_19,-111.07001,55.52431000000001,495580.1510309342,6153140.864593251
LU3,20,LU3_20,-111.04119000000001,55.526700000000005,497399.76355040894,6153405.388919049
LU3,21,LU3_21,-110.91676000000001,55.523540000000004,505255.18354025524,6153056.093214652
LU3,25,LU3_25,-110.90796000000002,55.54139,505808.122084191,6155043.297382094
LU3,27,LU3_27,-110.96253,55.5513,502363.9246339349,6156142.962497661
LU3,28,LU3_28,-110.88772999999999,55.55154399999999,507082.8961920753,6156175.20210105
LU3,32,LU3_32,-111.20451000000001,55.40952,487051.38526526967,6140382.962538892
LU3,36,LU3_36,-111.22414,55.44785999999999,485822.25189025747,6144653.516965243
LU3,38,LU3_38,-110.76387,55.44705999999999,514936.46408868744,6144566.99640336
LU3,39,LU3_39,-111.23818,55.46641,484941.23648513545,6146720.842725276
LU3,40,LU3_40,-111.16615,55.47251000000001,489496.89896806446,6147386.458834506
LU3,41,LU3_41,-111.16666000000001,55.461859999999994,489461.81950414,6146201.325079897
LU3,44,LU3_44,-110.84864,55.501310000000004,509561.181555201,6150589.413188099
LU3,45,LU3_45,-110.96503,55.517469999999996,502208.0980088377,6152377.980253921
LU3,46,LU3_46,-110.89555,55.5084,506596.76396790316,6151372.994819645
LU3,48,LU3_48,-111.09771,55.54892,493835.25491279067,6155881.791647588
LU3,50,LU3_50,-111.03035,55.551649999999995,498085.28220603854,6156181.694458925
LU3,51,LU3_51,-110.82767,55.55753,510870.30915735435,6156849.138287979
LU3,52,LU3_52,-110.89193,55.56306,506815.9329059855,6157456.387839948
LU3,49,LU3_49,-111.07930999999999,55.55693,494997.1698275393,6156771.738574815
LU13,18,LU13_18,-111.59020000000001,57.179930000000006,464320.0739628832,6337569.614511734
LU13,15,LU13_15,-111.59116000000002,57.140370000000004,464223.8632156805,6333166.465912139
LU13,3,LU13_3,-111.49142000000002,57.12465,470247.3084264982,6331368.676032839
LU13,34,LU13_34,-111.45408,57.12297000000001,472506.76850448793,6331165.998673154
LU13,57,LU13_57,-111.05726000000001,57.20649,496540.86488449504,6340373.257721259
LU13,16,LU13_16,-111.58554,57.16297000000001,464585.5722862072,6335679.26593479
LU13,21,LU13_21,-111.58622000000001,57.19368,464573.8392547519,6339098.137356905
LU13,37,LU13_37,-111.37926,57.11808,477033.84740603017,6330593.99285106
LU13,55,LU13_55,-111.30484,57.11781,481540.2090756391,6330541.343869722
LU13,47,LU13_47,-111.09103,57.1871,494497.902779457,6338217.005614256
LU13,51,LU13_51,-111.25424000000001,57.08858,484592.1939485075,6327275.00139388
LU13,27,LU13_27,-111.24763000000002,57.097150000000006,484996.24288582953,6328227.511506748
LU13,5,LU13_5,-111.21362000000002,57.1115,487061.8854939164,6329817.9447749965
LU13,26,LU13_26,-111.27681,57.08022,483220.60531814536,6326349.718606728
LU13,35,LU13_35,-111.43315000000001,57.11565,473768.8360320066,6330342.923998093
LU13,13,LU13_13,-111.30006999999999,57.07174,481806.50896256446,6325411.716689266
LU13,128,LU13_128,-111.3068,57.063210000000005,481394.1976718645,6324464.006005322
LU13,131,LU13_131,-111.32229999999998,57.06533000000001,480455.32249483676,6324704.32650561
LU13,12,LU13_12,-111.31858,57.057739999999995,480676.964330659,6323858.38122181
LU13,33,LU13_33,-111.33516999999999,57.0561,479669.8288322192,6323680.641388611
LU13,32,LU13_32,-111.34759000000001,57.04958,478912.7864094643,6322958.631600377
LU13,30,LU13_30,-111.36054,57.04375,478123.7272529245,6322313.737581318
LU13,53,LU13_53,-111.26450000000001,57.11683,483982.5942887108,6330422.06073381
LU13,22,LU13_22,-111.12086,57.17485,492692.4812117806,6336856.156385674
LU13,19,LU13_19,-111.13,57.163340000000005,492137.4099684517,6335575.900099875
LU13,45,LU13_45,-111.14605,57.1554,491164.79037309525,6334693.999751847
LU13,8,LU13_8,-111.17169,57.14077,489609.61559520557,6333069.034034191
LU13,43,LU13_43,-111.15834999999998,57.14806,490418.8126757553,6333878.587190207
LU13,41,LU13_41,-111.18623,57.13169,488726.921400142,6332060.579590536
LU13,59,LU13_59,-111.25407,57.12108,484615.9670030699,6330892.7576912735
LU13,6,LU13_6,-111.21960000000001,57.12073000000001,486703.0083957579,6330846.551176109
LU13,14,LU13_14,-111.19257999999999,57.123020000000004,488339.8123069894,6331096.525420971
LU13,52,LU13_52,-111.41942000000002,57.11729,474601.4282416654,6330520.287483885
LU13,36,LU13_36,-111.38155,57.12073000000001,476896.82666234055,6330889.754647152
LU13,38,LU13_38,-111.35448,57.11777,478534.21702451044,6330551.415765374
LU13,20,LU13_20,-111.10409,57.1806,493707.4169632783,6337494.564737168
LU13,17,LU13_17,-111.10896,57.16414,493410.0815294281,6335662.725005699
LU13,56,LU13_56,-111.10345,57.152100000000004,493741.2939270289,6334321.936245136
LU13,49,LU13_49,-111.07793,57.193340000000006,495290.49574898084,6338910.653045533
LU13,70,LU13_70,-111.05211,57.19792,496851.2522681376,6339419.00489534
LU13,11,LU13_11,-111.04179,57.17275000000001,497473.12089306954,6336616.685389035
LU15,44,LU15_44,-112.87607999999999,56.212650000000004,383644.1967974084,6231330.82566303
